return_id,order_id,seller_id,customer_id,asin,program_type,market,claim_type,category,return_date,resolution_date,resolution_time_days,handling_time_minutes,refund_amount,tracking_status,buyer_seller_comm_flag,agent_code,fraud_probability,fraud_flag,fraud_reason,status
1,1,31,2547,ASIN000053,SAFE-T,EU,DNOTR,Books,2023-09-26,2023-10-05,9,4,82.38,Delivered,False,AG056,0.6650826580750869,1,DNOTR | HighSellerRefundRate,Resolved
2,6,323,3215,ASIN000988,SAFE-T,EU,Wrong Item,Electronics,2023-05-13,2023-05-17,4,4,22.82,Delivered,False,AG057,0.35438906288560795,0,WrongItem | Electronics,Resolved
3,7,332,891,ASIN001482,OTC,EU,Wrong Item,Electronics,2024-07-05,2024-07-10,5,7,57.33,Delivered,True,AG067,0.46005954859517584,0,WrongItem | Electronics,Resolved
4,8,243,1335,ASIN001409,OP,EU,Not As Described,Electronics,2023-05-30,2023-06-02,3,12,72.98,Returned,True,AG007,0.4315483413872228,0,MinorIssue | Electronics,Resolved
5,12,809,971,ASIN000450,SAFE-T,NAM,MattDiff,Apparel,2023-11-08,2023-11-12,4,4,11.36,Returned,True,AG010,0.18482864529468132,0,MinorIssue | HighSellerRefundRate,Resolved
6,20,428,3750,ASIN000792,OTC,EU,MattDiff,Electronics,2024-01-19,2024-01-23,4,7,29.53,Delivered,True,AG072,0.3099951305366609,0,MinorIssue | Electronics,Resolved
7,31,54,4232,ASIN000428,SAFE-T,EU,Damaged,Home & Kitchen,2023-09-20,2023-09-23,3,4,178.5,Delivered,True,AG035,0.26536262935203175,0,MinorIssue | HighSellerRefundRate,Resolved
8,32,609,1314,ASIN000187,OTC,NAM,Not As Described,Beauty,2023-02-20,2023-02-22,2,8,0.0,Delivered,True,AG055,0.25559569013533434,0,MinorIssue | NonReturnableCat,Resolved
9,54,76,3433,ASIN001869,SAFE-T,EU,Not As Described,Books,2024-04-01,2024-04-03,2,5,31.71,Delivered,True,AG071,0.15641516261602575,0,MinorIssue | HighSellerRefundRate,Resolved
10,57,893,1347,ASIN000845,SAFE-T,EU,MattDiff,Apparel,2023-09-22,2023-09-25,3,3,7.34,Delivered,True,AG069,0.15066337430072388,0,MinorIssue | HighSellerRefundRate,Resolved
11,59,977,4807,ASIN001407,OTC,NAM,Wrong Item,Books,2023-05-22,2023-05-29,7,8,30.92,Delivered,True,AG075,0.5301210121312371,1,WrongItem | HighSellerRefundRate,Resolved
12,63,847,3779,ASIN000319,OP,NAM,Not As Described,Electronics,2024-10-28,2024-11-02,5,9,17.03,Returned,False,AG025,0.31016652665067557,0,MinorIssue | Electronics,Resolved
13,65,296,1383,ASIN001635,SAFE-T,NAM,Wrong Item,Books,2023-03-23,2023-03-30,7,4,121.08,Delivered,False,AG048,0.5169566230213154,1,WrongItem | HighSellerRefundRate,Resolved
14,73,953,3134,ASIN000561,OTC,NAM,Damaged,Beauty,2023-11-13,2023-11-17,4,6,0.0,Delivered,True,AG005,0.4266006374411347,0,MinorIssue | NonReturnableCat,Pending
15,77,228,2506,ASIN000270,SAFE-T,NAM,MattDiff,Electronics,2023-01-17,2023-01-21,4,5,30.0,Delivered,False,AG069,0.3390487001815919,0,MinorIssue | Electronics,Resolved
16,78,227,3815,ASIN000235,SAFE-T,EU,Not As Described,Home & Kitchen,2024-10-14,2024-10-18,4,4,22.59,Returned,False,AG045,0.17408579039525024,0,MinorIssue | HighSellerRefundRate,Resolved
17,81,963,1299,ASIN001853,SAFE-T,NAM,Wrong Item,Misc,2023-01-29,2023-02-05,7,4,0.0,Delivered,False,AG073,0.5631494934496842,1,WrongItem | NonReturnableCat,Escalated
18,82,762,2313,ASIN001004,OTC,NAM,MattDiff,Apparel,2023-11-07,2023-11-09,2,9,62.9,Delivered,True,AG058,0.42474651362085014,0,MinorIssue | HighSellerRefundRate,Resolved
19,83,850,3346,ASIN000373,SAFE-T,NAM,Wrong Item,Apparel,2023-08-10,2023-08-15,5,3,67.2,Delivered,True,AG076,0.39707200764044814,0,WrongItem | HighSellerRefundRate,Resolved
20,84,762,2848,ASIN001053,SAFE-T,NAM,RNOTR,Misc,2023-04-27,2023-05-04,7,4,0.0,Delivered,True,AG039,0.6129198472406732,1,RNOTR | NonReturnableCat,Resolved
21,86,750,253,ASIN001926,OP,EU,MattDiff,Electronics,2024-01-19,2024-01-23,4,23,39.15,Lost,True,AG068,0.3190287746331425,0,MinorIssue | Electronics,Resolved
22,87,568,1630,ASIN001432,OTC,NAM,Not As Described,Toys,2023-04-14,2023-04-18,4,8,3.48,Delivered,True,AG006,0.15386165418583456,0,MinorIssue | HighSellerRefundRate,Resolved
23,89,920,4765,ASIN000284,SAFE-T,NAM,MattDiff,Apparel,2024-07-28,2024-07-31,3,5,48.88,Delivered,False,AG065,0.1620088189231673,0,MinorIssue | HighSellerRefundRate,Resolved
24,94,130,979,ASIN001270,OTC,NAM,MattDiff,Toys,2024-02-25,2024-02-29,4,6,36.77,Returned,True,AG017,0.17081144387287817,0,MinorIssue | HighSellerRefundRate,Resolved
25,98,630,4639,ASIN000872,SAFE-T,NAM,DNOTR,Toys,2024-02-10,2024-02-16,6,5,30.52,Delivered,False,AG011,0.8357405587910363,1,DNOTR | HighSellerRefundRate,Resolved
26,101,747,4253,ASIN000313,OP,NAM,Damaged,Apparel,2024-02-05,2024-02-09,4,9,113.52,Delivered,False,AG038,0.3686402584629952,0,MinorIssue | HighSellerRefundRate,Resolved
27,102,17,2773,ASIN001610,SAFE-T,NAM,Not As Described,Apparel,2023-04-17,2023-04-19,2,4,49.37,Delivered,False,AG016,0.15542992551576337,0,MinorIssue | HighSellerRefundRate,Resolved
28,103,594,4237,ASIN001793,OTC,NAM,Wrong Item,Books,2023-12-31,2024-01-04,4,8,19.44,Delivered,False,AG037,0.5318598660383378,1,WrongItem | HighSellerRefundRate,Resolved
29,112,614,4772,ASIN000018,OP,NAM,Damaged,Beauty,2024-01-14,2024-01-17,3,6,13.43,Delivered,False,AG052,0.7220239357205224,1,MinorIssue | NonReturnableCat,Pending
30,122,171,211,ASIN001843,SAFE-T,EU,Damaged,Apparel,2023-08-13,2023-08-15,2,4,94.38,Delivered,False,AG079,0.38175563941578505,0,MinorIssue | HighSellerRefundRate,Resolved
31,123,576,2391,ASIN001970,SAFE-T,EU,MattDiff,Home & Kitchen,2023-03-19,2023-03-22,3,3,79.05,Delivered,False,AG077,0.35736808150308286,0,MinorIssue | HighSellerRefundRate,Resolved
32,124,756,2807,ASIN001903,OTC,EU,Wrong Item,Books,2023-08-13,2023-08-17,4,6,110.39,Delivered,True,AG072,0.4012582885172512,0,WrongItem | HighSellerRefundRate,Resolved
33,130,383,234,ASIN000950,OTC,EU,MattDiff,Electronics,2024-08-11,2024-08-13,2,7,54.18,Delivered,True,AG060,0.3246297670579138,0,MinorIssue | Electronics,Resolved
34,133,107,2356,ASIN000090,SAFE-T,NAM,Not As Described,Home & Kitchen,2023-02-18,2023-02-20,2,4,7.36,Delivered,True,AG079,0.17017801105786784,0,MinorIssue | HighSellerRefundRate,Resolved
35,136,463,4483,ASIN000674,SAFE-T,EU,RNOTR,Electronics,2024-02-01,2024-02-07,6,5,16.55,Delivered,True,AG065,0.6822704682535471,1,RNOTR | Electronics,Resolved
36,140,738,832,ASIN000270,SAFE-T,EU,Wrong Item,Electronics,2023-06-13,2023-06-18,5,3,87.87,Delivered,True,AG039,0.5688477424146144,1,WrongItem | Electronics,Resolved
37,143,972,403,ASIN000496,OTC,EU,RNOTR,Misc,2024-03-17,2024-03-22,5,7,0.0,Delivered,True,AG020,0.8792846957068392,1,RNOTR | NonReturnableCat,Resolved
38,150,406,1984,ASIN000081,SAFE-T,EU,Not As Described,Home & Kitchen,2024-01-31,2024-02-02,2,4,7.55,Delivered,True,AG030,0.18853627549322047,0,MinorIssue | HighSellerRefundRate,Resolved
39,153,322,2284,ASIN001832,OTC,EU,Wrong Item,Electronics,2023-04-18,2023-04-23,5,7,155.8,Lost,True,AG041,0.7886437796833027,1,WrongItem | Electronics,Resolved
40,161,996,1967,ASIN000479,OP,NAM,Damaged,Apparel,2023-12-31,2024-01-02,2,14,40.3,Returned,True,AG052,0.1715570845917797,0,MinorIssue | HighSellerRefundRate,Resolved
41,170,618,3893,ASIN001741,SAFE-T,NAM,DNOTR,Apparel,2023-07-26,2023-07-31,5,3,15.51,Delivered,False,AG078,0.5652392371684263,1,DNOTR | HighSellerRefundRate,Resolved
42,191,196,1732,ASIN001758,SAFE-T,NAM,MattDiff,Beauty,2024-08-18,2024-08-20,2,3,0.0,Delivered,True,AG045,0.4048323065287294,0,MinorIssue | NonReturnableCat,Resolved
43,194,417,3386,ASIN001190,SAFE-T,NAM,MattDiff,Misc,2024-01-23,2024-01-26,3,4,12.39,Returned,True,AG077,0.3845819976663381,0,MinorIssue | NonReturnableCat,Resolved
44,195,352,3967,ASIN000931,OP,EU,Damaged,Home & Kitchen,2024-02-23,2024-02-26,3,10,32.25,Delivered,True,AG015,0.18101814248964232,0,MinorIssue | HighSellerRefundRate,Resolved
45,201,663,267,ASIN001202,SAFE-T,EU,Not As Described,Home & Kitchen,2024-01-27,2024-01-29,2,5,21.78,Delivered,True,AG073,0.17549175667517744,0,MinorIssue | HighSellerRefundRate,Resolved
46,202,63,4076,ASIN001297,SAFE-T,EU,RNOTR,Misc,2023-09-09,2023-09-14,5,5,18.2,Returned,True,AG078,0.6206529347616265,1,RNOTR | NonReturnableCat,Pending
47,213,508,2638,ASIN001055,OTC,EU,Not As Described,Electronics,2023-05-13,2023-05-18,5,8,15.57,Delivered,False,AG053,0.3367128251346738,0,MinorIssue | Electronics,Resolved
48,216,662,1446,ASIN000471,OP,EU,Not As Described,Beauty,2024-06-24,2024-06-28,4,12,54.67,Delivered,False,AG044,0.6087187278648865,1,MinorIssue | NonReturnableCat,Resolved
49,218,764,21,ASIN001885,SAFE-T,EU,MattDiff,Apparel,2024-02-13,2024-02-17,4,3,99.11,Delivered,False,AG076,0.3685713511092627,0,MinorIssue | HighSellerRefundRate,Pending
50,219,596,4401,ASIN001639,SAFE-T,NAM,Damaged,Books,2024-08-15,2024-08-17,2,4,1.26,Delivered,True,AG021,0.1585369610236529,0,MinorIssue | HighSellerRefundRate,Resolved
51,225,758,2649,ASIN001785,OTC,NAM,DNOTR,Apparel,2024-10-20,2024-10-29,9,8,47.18,Returned,True,AG020,0.3133262714163856,0,DNOTR | HighSellerRefundRate,Resolved
52,226,55,4853,ASIN001914,SAFE-T,NAM,Damaged,Toys,2023-11-16,2023-11-19,3,5,80.49,Delivered,False,AG008,0.36573305139926626,0,MinorIssue | HighSellerRefundRate,Resolved
53,231,765,3995,ASIN000416,OTC,NAM,MattDiff,Electronics,2023-04-20,2023-04-24,4,8,2.88,Delivered,True,AG043,0.5639776336703051,1,MinorIssue | Electronics,Resolved
54,232,781,3968,ASIN000980,SAFE-T,EU,DNOTR,Beauty,2024-04-20,2024-04-26,6,4,0.0,Delivered,False,AG057,0.6646970626977188,1,DNOTR | NonReturnableCat,Pending
55,236,18,385,ASIN001154,SAFE-T,NAM,Counterfeit,Apparel,2023-12-11,2023-12-16,5,4,376.87,Returned,True,AG049,0.4097089865315204,0,Counterfeit | HighSellerRefundRate,Resolved
56,241,909,3590,ASIN001719,OTC,NAM,Not As Described,Apparel,2023-11-14,2023-11-17,3,7,22.96,Delivered,True,AG003,0.1709489300866678,0,MinorIssue | HighSellerRefundRate,Resolved
57,248,946,978,ASIN000447,OTC,NAM,MattDiff,Home & Kitchen,2023-05-27,2023-05-30,3,6,108.52,Delivered,True,AG023,0.2576457098351934,0,MinorIssue | HighSellerRefundRate,Resolved
58,253,649,1154,ASIN000070,OTC,EU,Damaged,Apparel,2023-02-26,2023-03-01,3,6,27.03,Delivered,True,AG041,0.15568352146318853,0,MinorIssue | HighSellerRefundRate,Resolved
59,270,959,761,ASIN000837,OTC,NAM,Wrong Item,Toys,2024-09-19,2024-09-23,4,7,59.73,Returned,False,AG043,0.5443292070456006,1,WrongItem | HighSellerRefundRate,Resolved
60,274,111,1759,ASIN001942,SAFE-T,NAM,MattDiff,Apparel,2023-04-17,2023-04-21,4,4,32.63,Returned,True,AG045,0.18252288243480147,0,MinorIssue | HighSellerRefundRate,Resolved
61,275,928,4409,ASIN001960,OP,NAM,Not As Described,Apparel,2024-04-27,2024-04-29,2,11,20.55,Delivered,True,AG025,0.15995365262233216,0,MinorIssue | HighSellerRefundRate,Resolved
62,276,934,1856,ASIN001489,SAFE-T,NAM,RNOTR,Electronics,2024-05-10,2024-05-18,8,3,119.95,Returned,False,AG069,0.6326307805783147,1,RNOTR | Electronics,Resolved
63,280,709,4710,ASIN000614,SAFE-T,NAM,Damaged,Apparel,2024-07-29,2024-08-02,4,4,8.22,Returned,True,AG076,0.15974994316801186,0,MinorIssue | HighSellerRefundRate,Resolved
64,285,560,3881,ASIN000302,SAFE-T,EU,Not As Described,Home & Kitchen,2024-06-11,2024-06-14,3,4,40.79,Delivered,True,AG071,0.1622727790669254,0,MinorIssue | HighSellerRefundRate,Resolved
65,288,77,1774,ASIN000649,SAFE-T,EU,Not As Described,Books,2024-07-13,2024-07-15,2,6,10.59,Delivered,True,AG050,0.17311206911919733,0,MinorIssue | HighSellerRefundRate,Resolved
66,292,117,4162,ASIN001791,SAFE-T,EU,Not As Described,Apparel,2023-07-18,2023-07-23,5,2,35.19,Delivered,True,AG021,0.17955973486158197,0,MinorIssue | HighSellerRefundRate,Resolved
67,293,434,2179,ASIN001695,OTC,NAM,RNOTR,Books,2023-12-20,2023-12-24,4,8,229.27,Delivered,False,AG037,0.6382088246706498,1,RNOTR | HighSellerRefundRate,Pending
68,298,619,2701,ASIN000965,OTC,EU,Wrong Item,Electronics,2023-04-01,2023-04-06,5,7,25.79,Delivered,False,AG060,0.44936990217934397,0,WrongItem | Electronics,Resolved
69,301,394,2727,ASIN000353,OTC,EU,Not As Described,Apparel,2024-08-11,2024-08-15,4,8,23.39,Delivered,True,AG060,0.18153275074860298,0,MinorIssue | HighSellerRefundRate,Resolved
70,308,618,3230,ASIN000832,OP,NAM,RNOTR,Electronics,2024-06-12,2024-06-19,7,16,25.4,Returned,True,AG080,0.41318857421237937,0,RNOTR | Electronics,Resolved
71,311,622,3601,ASIN000617,SAFE-T,NAM,RNOTR,Electronics,2024-09-10,2024-09-18,8,4,63.47,Delivered,False,AG050,0.6522776256373297,1,RNOTR | Electronics,Resolved
72,312,228,3376,ASIN000245,SAFE-T,NAM,Not As Described,Electronics,2023-07-15,2023-07-20,5,3,88.58,Returned,False,AG074,0.5088828489893862,1,MinorIssue | Electronics,Pending
73,316,23,4788,ASIN000205,SAFE-T,NAM,MattDiff,Electronics,2024-09-02,2024-09-06,4,6,6.9,Delivered,True,AG071,0.3139817846454314,0,MinorIssue | Electronics,Resolved
74,330,81,4767,ASIN000303,SAFE-T,EU,RNOTR,Apparel,2023-11-12,2023-11-17,5,3,10.8,Delivered,True,AG001,0.5142493546699514,1,RNOTR | HighSellerRefundRate,Resolved
75,335,436,709,ASIN001130,SAFE-T,EU,Counterfeit,Electronics,2023-11-27,2023-12-01,4,4,18.84,Delivered,False,AG078,0.4638463655831655,0,Counterfeit | Electronics,Resolved
76,339,74,203,ASIN000032,OTC,EU,MattDiff,Apparel,2023-07-11,2023-07-13,2,5,197.82,Delivered,False,AG066,0.35633689225826015,0,MinorIssue | HighSellerRefundRate,Resolved
77,349,28,980,ASIN001488,SAFE-T,NAM,Wrong Item,Books,2023-12-05,2023-12-10,5,4,8.52,Returned,False,AG047,0.3188366186498638,0,WrongItem | HighSellerRefundRate,Resolved
78,352,118,854,ASIN000038,OP,NAM,Damaged,Toys,2023-06-05,2023-06-09,4,15,27.22,Returned,True,AG015,0.1565866481984723,0,MinorIssue | HighSellerRefundRate,Resolved
79,355,587,4538,ASIN000398,OTC,NAM,Not As Described,Electronics,2024-08-29,2024-09-02,4,6,42.86,Delivered,False,AG043,0.3284528957508209,0,MinorIssue | Electronics,Resolved
80,361,316,3738,ASIN001808,OP,EU,Damaged,Apparel,2023-10-29,2023-10-31,2,8,2.53,Delivered,False,AG019,0.1515229844913261,0,MinorIssue | HighSellerRefundRate,Resolved
81,364,444,3135,ASIN001109,OTC,NAM,Damaged,Misc,2023-06-20,2023-06-24,4,5,0.0,Returned,True,AG037,0.2727212379967247,0,MinorIssue | NonReturnableCat,Resolved
82,366,752,1933,ASIN001794,OP,EU,MattDiff,Beauty,2023-03-10,2023-03-14,4,15,5.51,Delivered,False,AG044,0.4850519925686264,0,MinorIssue | NonReturnableCat,Resolved
83,388,684,4009,ASIN000639,OP,EU,MattDiff,Apparel,2024-05-12,2024-05-14,2,13,103.88,Returned,True,AG014,0.28149672786316193,0,MinorIssue | HighSellerRefundRate,Pending
84,389,928,4602,ASIN000044,OP,NAM,RNOTR,Home & Kitchen,2023-09-23,2023-09-27,4,9,79.98,Returned,False,AG038,0.46785093850490905,0,RNOTR | HighSellerRefundRate,Resolved
85,391,974,1878,ASIN000281,SAFE-T,NAM,Damaged,Home & Kitchen,2024-09-15,2024-09-18,3,5,11.17,Delivered,False,AG011,0.15736427982729517,0,MinorIssue | HighSellerRefundRate,Resolved
86,398,728,2908,ASIN001104,OP,EU,MattDiff,Beauty,2024-06-02,2024-06-06,4,17,0.0,Delivered,True,AG038,0.523076957681042,1,MinorIssue | NonReturnableCat,Resolved
87,401,904,612,ASIN001533,SAFE-T,NAM,Damaged,Apparel,2023-02-03,2023-02-07,4,5,44.8,Delivered,False,AG051,0.1801002282382799,0,MinorIssue | HighSellerRefundRate,Resolved
88,402,405,2510,ASIN000588,SAFE-T,NAM,Counterfeit,Beauty,2023-05-13,2023-05-19,6,4,61.81,Returned,False,AG049,0.6139445552914855,1,Counterfeit | NonReturnableCat,Resolved
89,405,28,2671,ASIN001423,OP,NAM,MattDiff,Beauty,2023-10-21,2023-10-23,2,15,172.28,Delivered,False,AG068,0.4791369222003092,0,MinorIssue | NonReturnableCat,Resolved
90,407,266,1628,ASIN000817,OP,EU,Counterfeit,Beauty,2024-03-09,2024-03-14,5,12,41.37,Delivered,False,AG036,0.6304076988729057,1,Counterfeit | NonReturnableCat,Resolved
91,410,644,4630,ASIN001068,OTC,NAM,MattDiff,Home & Kitchen,2024-02-27,2024-03-01,3,6,51.92,Delivered,True,AG024,0.1700229308019318,0,MinorIssue | HighSellerRefundRate,Resolved
92,413,207,4257,ASIN000268,OP,NAM,RNOTR,Apparel,2024-08-17,2024-08-25,8,6,19.73,Returned,False,AG068,0.2537869835869239,0,RNOTR | HighSellerRefundRate,Resolved
93,415,992,1523,ASIN001238,OTC,EU,Not As Described,Books,2024-02-02,2024-02-04,2,8,54.61,Delivered,True,AG005,0.183403467724897,0,MinorIssue | HighSellerRefundRate,Resolved
94,417,875,2074,ASIN001728,SAFE-T,NAM,RNOTR,Beauty,2023-11-17,2023-11-22,5,3,83.51,Delivered,False,AG076,0.8270126963992084,1,RNOTR | NonReturnableCat,Resolved
95,438,526,1858,ASIN001969,OTC,NAM,Damaged,Beauty,2024-03-27,2024-03-30,3,4,0.0,Delivered,True,AG020,0.2651798332622417,0,MinorIssue | NonReturnableCat,Pending
96,456,305,4105,ASIN000747,SAFE-T,EU,Damaged,Electronics,2024-03-15,2024-03-18,3,5,111.33,Delivered,True,AG065,0.40519740308939955,0,MinorIssue | Electronics,Resolved
97,459,729,4321,ASIN001309,OTC,NAM,Not As Described,Toys,2024-09-07,2024-09-12,5,7,15.42,Delivered,True,AG043,0.15798503286683377,0,MinorIssue | HighSellerRefundRate,Escalated
98,467,415,2405,ASIN001060,OTC,EU,MattDiff,Apparel,2024-05-26,2024-05-29,3,6,218.43,Delivered,True,AG041,0.27074969582523956,0,MinorIssue | HighSellerRefundRate,Pending
99,471,729,4667,ASIN001417,OTC,NAM,Wrong Item,Electronics,2023-05-22,2023-05-29,7,7,77.34,Delivered,False,AG055,0.5413467856901514,1,WrongItem | Electronics,Resolved
100,479,831,4060,ASIN001915,OTC,NAM,Not As Described,Home & Kitchen,2024-09-04,2024-09-07,3,7,5.46,Delivered,True,AG022,0.4257916283543583,0,MinorIssue | HighSellerRefundRate,Resolved
101,480,561,331,ASIN001976,OTC,EU,MattDiff,Electronics,2024-09-10,2024-09-12,2,8,520.49,Lost,True,AG072,0.40214748407485523,0,MinorIssue | Electronics,Resolved
102,485,567,3696,ASIN001844,OP,NAM,Not As Described,Electronics,2023-07-22,2023-07-24,2,19,12.92,Returned,False,AG064,0.32655297057002386,0,MinorIssue | Electronics,Resolved
